MOLECULE,OUTCOME,,,
CC(C)C1=NC2=C(C=CC=C2)C(=O)N1C1=CC=C(OCCCN2CCCC2)C=C1,5.408935393,3.591064607,3900,1
CC(C)C1=C(C(=O)N(CC2CCCC2)[C@H]2CCNC2)C=CC=C1,5.628932138,3.371067862,2349.999999,1
CC(C)C1=CN(C2=CC=C(F)C=C2)C2=C1C=C(Cl)C=C2,5,4,10000,1
CC(O)C1=CN(C2=CC=C(F)C=C2)C2=C1C=C(Cl)C=C2,2.34,6.66,4570881.896,0
CC(C)(N)C1=CC(C(F)(F)F)=CC(C(=O)N[C@@H]2CCC3=C(C=C(OC4=C5CCC(=O)NC5=NC=C4)C=C3)C2)=C1,5.13076828,3.86923172,7400.000005,1
CC(C)C1=CC(N2CCN(CCN3CC4=C(C=CC=C4)C3)C2=O)=CC=C1,5.300000202,3.699999798,5011.870005,1
CC(C)(O)C1=CC(S(=O)(=O)N2CCN(C(=O)[C@@H]3C[C@H]3C3=CC=C(C(F)(F)F)C=C3)CC2)=CC(C(F)(F)F)=C1,5.920818754,3.079181246,1200,1
CC(=O)C1=CC2=C(C=C1)OCC(=O)N2CCN1CCC(NCC2=NC3=C(C=C2)OCC(=O)N3)CC1,4.308918508,4.691081492,49099.99999,0
CC(C)C1=CC=C(C2=CC(CN3CCOCC3)=NN2C2CCC2)C=C1,4.494850022,4.505149978,31999.99998,0
CC(C)C1=CC=C(CS(=O)(=O)C2=CC=C([C@]34CNC[C@H]3C4)C=C2)C=C1,5.499999679,3.500000321,3162.279998,1
CC(C)C1=CC=C(S(=O)(=O)NC2=CC=C([C@]34CNC[C@H]3C4)C=C2)C=C1,6,3,1000,1
CC(C)C1=CC(NC2=C(C(N)=O)C=NC(N3CCC[C@H](N)C3)=N2)=CC(C(C)C)=N1,5.431798276,3.568201724,3699.999999,1
CC(C)(C)C1=CNC(C2CC3=C(NC4=C3C=CC=C4)C(C3CCOCC3)N2)=N1,5.531062194,3.468937806,2944.000002,1
CC(C)C1=NC(COCC2(C3=CC=C(F)C=C3)CCN(C)CC2)=CC(C(F)(F)F)=C1,4.585026652,4.414973348,26000,0
CC(C)(C)C1=CSC(N2CCN(C(=O)[C@@H]3CCCC[C@H]3C(=O)NC3(C#N)CC3)CC2)=N1,5.200000237,3.799999763,6309.570002,1
CC(C)C1=NOC(N2CCN(C3=NC=C(OCC4=C(C#N)C=NC=C4)C=N3)[C@H](C)C2)=N1,4.935542011,4.064457989,11599.99999,0
CC(C)(C)C1=CC(NC(=O)N2C=CC3=CC(OC4=C5CCNCC5=NC=N4)=CC=C32)=NO1,5.15490196,3.84509804,7000,1
CC(C)(C)C1=CC(NC(=O)N2C=CC3=CC(OC4=C5CNCC5=NC=N4)=CC=C32)=NO1,4.628932138,4.371067862,23499.99999,0
CC(C)(C)C1=CC(NC(=O)N2N=CC3=CC(OC4=C5CNCC5=NC=N4)=CC=C32)=NO1,5.113509275,3.886490725,7699.999997,1
CC(C)(C)C1=CC(NC(=O)N2C=CC3=NC(OC4=C5CNCC5=NC=N4)=CC=C32)=NO1,4.585026652,4.414973348,26000,0
CC(C)C1=NC=C([C@]2(O)CC[C@H](N3CC(NC(=O)CNC4=NC=NC5=CC=C(C(F)(F)F)C=C54)C3)CC2)S1,4.425968732,4.574031268,37500.00002,0
CC1(C(=O)N2CCO[C@@H](C3=NC(C4=C(F)C=C(C(=O)NC5=NC=CC(C(F)(F)F)=C5)C=C4)=C4C(N)=NC=CN34)C2)CCC1,4.853871964,4.146128036,14000.00001,0
